,Q,A,label
5319,2년 사귀고 헤어졌습니다,짧지는 않은 시간 동안의 연애였는데 마음이 아프네요.,1
5320,2년 정도를 만났는데 잘 이해가 안가,많이 알지 못했나봐요.,1
5321,2년간 만난 여자친구와의 이별,애석하게도 헤어지셨네요.,1
5322,2년간 연애끝에,만남을 정리하게 되었나봐요.,1
5323,"2년간의 단거리, 2년간의 장거리, 그리고 이별.",고생 많았어요.,1
5324,2년동안 나 사랑해줘서 고맙다,좋은 사랑 하셨나봐요.,1
5325,2년만에 연락을 했습니다.,추억은 추억일 때 좋을 때도 있어요.,1
5326,2년사귀다가 헤어젔는데,많이 힘들지 않았으면 좋겠네요.,1
5327,2년여의 만남 3번의 이별,이별도 여러 번이면 마음이 이별을 준비해요.,1
5328,2년의 꿈같았던 사랑 갑작스런이별,꿈같았던 만큼 놀라셨겠어요.,1
5329,2년의 시간,좋았길 바랄게요.,1
5330,2년의 연애에 이별이란 종착역!!,다른 역을 향해 떠나요.,1
5331,2년이 지나서 첫사랑이 살던곳 지나갔는데,지나가지 말지 그랬어요.,1
5332,2달반이라는 시간동안 많이 괜찮아졌어,시간이 쓰디쓴 약이었나봅니다.,1
5333,2주가 지났어,2주 동안 고생했어요.,1
5334,2주가지나가네,시간이 더 많이 지나가길 바랄게요.,1
5335,2주동안 참을만 했는데,잘 참았어요.,1
5336,2주전에 헤어졌습니다,힘들겠네요.,1
5337,30살 막바지의 이별,나이에 상관없이 이별은 참 마음이 아프네요.,1
5338,3개월만에 연락이 오긴왔는데.,시간 텀이 기네요.,1
5339,3개월만에 연락이 왔습니다,그동안 많이 기다렸겠어요.,1
5340,3개월이라는 시간이 흘렀지만 여전히 제자리걸음,제자리여도 괜찮아요.,1
5341,3개월전에 헤어진 전남친이 문자했어,헤어지고 연락 받지 마요.,1
5342,3개월째,아프지 마요.,1
5343,3년 동거 돈 싸움. 헤어짐,돈이 문제죠.,1
5344,3년 반의 만남 끝에 헤어지게 되었습니다.,많이 허절할 거라 생각해요.,1
5345,3년 연애 . 마침표가 도저히 끊기질 않네 어쩌면 좋죠,마침표가 이어져서 선이 되기도 하죠.,1
5346,3년 연애의 끝,힘들겠지만 잘 이겨낼 거예요.,1
5347,3년 째 트라우마,상처받은 마음 보듬어주고 싶네요.,1
5348,3년간 만나던 여자친구와 헤어졌어,힘들겠지만 잘 이겨낼 거예요.,1
5349,3년반 만난여자와 헤어진지 한달 되었습니다,힘들겠지만 잘 이겨낼 수 있을 거예요.,1
5350,3년연애이별,힘들겠지만 잘 이겨낼 거예요.,1
5351,3년이 지난 지금,괜찮길 바랄게요.,1
5352,3년이란 시간이 흘렀는대도,긴 시간인데 깊게 사랑했나봐요.,1
5353,3년이란 오랜기간 연애를 하다보니 권태기가 찾아오네,권태기가 마침표인지 쉼표인지 살펴보세요.,1
5354,3달이 지났네,물리적인 시간은 잘도 가죠.,1
5355,3달이지났는데 이제야 헤어짐을 확신했네,이제야 실감이 나나 봐요.,1
5356,40을 목전에 둔 헤어짐,나이에 상관없이 이별은 힘들죠.,1
5357,45일만에 진짜 헤어지네,인연이 거기까지였나봐요.,1
5358,4개월째.,이별 중인가봐요.,1
5359,4년 반이라는 시간이 이렇게 끝나네.,사랑은 끝나도 당신의 시간은 여전히 진행 중인 걸 잊지 마세요.,1
5360,4년 사귄 여자친구가 환승 이별했어,환승 이별은 예의가 아니네요.,1
5361,4년 사귄뒤 이별. 어느새 5달이 다되어가네여.,만났던 시간이 긴 만큼 많이 힘들겠어요.,1
5362,4년 연애 후 이별 6개월. 새로운 시작을 하는 전여친. 너무 힘들어.,헤어지면 남이에요. 신경쓰면 더 힘들어져요.,1
5363,4년4개월간의사랑이끝났네,사랑은 끝나도 당신의 시간은 여전히 진행 중인 걸 잊지 마세요.,1
5364,4년넘은 인연이 끝이났습니다.,사랑은 끝나도 당신의 시간은 여전히 진행 중인 걸 잊지 마세요.,1
5365,4년만난 여자와 이별한지 5개월 다되어가네.,힘든 시간 잘 버텨내고 있길 바랄게요.,1
5366,4년을 만난 여친이 떠났습니다.,한동안 받아들이기 버거울거예요.,1
5367,"4년을 만났어도,,",사람 속을 모를 때가 있어요.,1
5368,4년을 엊그제 마무리 했습니다,좋은 마무리가 되었길 바랍니다.,1
5369,4번의 재회와 4번의 헤어짐,잦은 만남과 이별로 지쳤겠어요.,1
5370,"4월, 이별을 말합니다.",헤어짐에도 준비가 필요할 거예요.,1
5371,5년 10개월간 연애. 그리고 이별 준비 중,준비하는 시간도 힘들 거 같아요.,1
5372,5년 동거후 이별.,더 헤어지지 힘들겠어요.,1
5373,5년 사귄 여자친구와 이별이네. 조언부탁좀 드려,저는 저에게 투자하는 시간을 가져요. 예를들면 운동이나 여행같이 잡념을 없앨 수 있는 일들이요.,1
5374,5년 연애 이별,마음이 복잡하겠어요.,1
5375,5년 연애 후 이별 3개월차,생각을 오래하면 더욱 지칠 수 있어요.,1
5376,5년 연애가 끝났습니다.,한동안 많이 힘들지도 몰라요. 맘고생 많았어요.,1
5377,5년 종교 문제 결국엔 헤어지네,종교 차이는 생각보다 민감한 부분이더라고요. 연애 기간이 무색하게도 힘들었겠어요.,1
5378,5년가까이 사귄 그녀와 헤어졌습니다.,머릿속은 텅비고 마음은 복잡하겠어요.,1
5379,5년간 사귀고 어제 헤어졌습니다.,힘든 결정이었을텐데 혼자만의 시간이 필요하겠어요.,1
5380,5년간 사귀고 이별,생각을 비워보세요.,1
5381,5년만난 전여친과 결국 어제 헤어졌습니다,행복했던 기억만 남았길 바랄게요.,1
5382,5년연애 끝은 정말 멍하고 허무하네.,사랑의 끝은 항상 허무하네요.,1
5383,5년연애 이별후 3개월,감당하기 어려웠을 거예요.,1
5384,"5년이 넘게 만난 첫 연인, 그리고 이별",여기까지였을 거예요.,1
5385,5년이란 시간이 무색해지네,긴 시간이 무색하겠지만 아련한 추억이 될 거예요.,1
5386,600일 좀 넘은 저의 사랑 그리고 이별이야기,소중한 이야기 제가 들어드릴게요.,1
5387,6개월 가량의 이별과 재회의 끝,아쉬운 이야기네요.,1
5388,6개월간의 짧은 사랑.,그만큼 애틋한 사랑이였겠어요.,1
5389,6개월만에 다시 만납니다.,오랜만의 만남이네요.,1
5390,6개월이 지나도 왜이런거죠?,물리적 시간에 비례하지 않으니까요.,1
5391,6년 4개월동안의 연애. 그 후 이별 뭘해야할까,또 다시 열심히 살아가고 사랑하는 거죠.,1
5392,6년 연애 후 환승이별 당했어.,환승 이별은 예의가 아니네요.,1
5393,6년 이야기.,생각을 비워보는 건 어떨까요.,1
5394,6년그리고남은 것들,좋은 기억들만 남았길 바랄게요.,1
5395,6년연애 그리고 이별통보,함께한 시간이 시간이니 만큼 놀랐겠어요.,1
5396,6년을 널 위해 모든걸 바쳤고 니가 떠난후 4년동안 난 미친듯이 살았다.,힘든 시간 잘 버텨냈어요.,1
5397,6년의 만남. 이별을 준비하고 있습니다.,힘들겠지만 천천히 보내주세요.,1
5398,6년의시간과 6일간의 헤어짐 이제보내주려합니다,힘들겠지만 천천히 보내주세요.,1
5399,6살 많은 전여친이랑 만나고 얘기 잘하고 왔습니다.,이야기가 잘 풀렸다니 다행이에요.,1
5400,7년 내남자,오랜 사랑 하셨네요.,1
5401,7년 정도 사귀었습니다,오래 사귀셨네요.,1
5402,7년만에 두번째 이별통보,반복되면 습관이 됩니다.,1
5403,7년반 연애 끝났습니다.,끝을 맺느라 고생했어요.,1
5404,7년사귄 남자친구에게 배신당했어.,헤어지세요.,1
5405,7년사귄 남자친구의 유흥업소 방문사실을 알아버렸습니다,그런 사람 못 고쳐 씁니다. 헤어지세요.,1
5406,7년이라는 세월 함께한 애인과 이별하게 되었습니다.,세월 만큼 힘들겠네요.,1
5407,7년째,힘내세요.,1
5408,7일차,힘내세요.,1
5409,8년 긴 만남의 끝은 힘드네,긴 시간 만큼 힘이 들 거예요.,1
5410,8년 긴 연애의 끝.,끝내는 게 힘들었을 거 같아요.,1
5411,8년 만났는데 어떻게 헤어져,여기까지였을 거예요.,1
5412,8년 사귀고 해어진지 1년.,새로운 사랑을 찾아보세요.,1
5413,8년 사귀고 헤어진지 2달,딱 힘들 때네요.,1
5414,8년 연애끝의 이별.,공허함이 더 크시겠어요.,1
5415,8년의 연애의 끝에 와있습니다.,끝은 항상 힘들지요.,1
5416,9년 연애 환승이별,환승 이별은 예의가 아니네요.,1
5417,9년간의 연애.,공허함이 더 크시겠어요.,1
5418,"9년연예,8년동거. 결국 헤어짐. 정말",공허함이 크겠어요.,1
5419,9년이 넘는 연애를 끝냅니다,공허함이 더 크시겠어요.,1
5420,jk김동욱 노래 생각나네,가사가 비슷한가봐요.,1
5421,SNS 를 끊어야 하는데.,SNS 끊는게 힘들죠.,1
5422,SNS 흔적,SNS 흔적 삭제하세요.,1
5423,sns에서 다른 이성이랑 대화하는걸 보니 화가 나,SNS 보지 마세요.,1
5424,가벼워졌다고 생각했는데,무거워도 괜찮아요.,1
5425,가사가 내맘같아,슬픈 가사 듣지 마요.,1
5426,가슴 아픈 이별,많이 아프지 말아요.,1
5427,가슴 한편이 꾹꾹하네,덜 아팠으면 좋겠어요.,1
5428,가슴에 구멍이 너무 커.,아무 생각 하지 말고 푹 주무세요.,1
5429,가슴은 계속 죽음만을 쳐다봅니다,자신을 더 사랑해주세요.,1
5430,가슴이 너무 아프고 숨쉬기가 힘드네,아픈만큼 더 성숙해질 거예요.,1
5431,가슴이 아파,가슴 아픈 만큼 행복해지세요.,1
5432,가슴이 아프네,아픈 만큼 행복해지세요.,1
5433,가슴이 허락하질 않네.,마음이 하라는 대로 해야죠.,1
5434,가장 가까웠던 사람이 이제 가장 먼 사람이네,이게 가장 슬픈 일인 거 같아요.,1
5435,가족관계 알려줘,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요",1
5436,가짜 이별 4개월만에 마침표 찍었습니다.,마침표 찍는 것도 용기가 필요하죠.,1
5437,가혹한 이별 극복방법.,사랑한 만큼 가혹하죠.,1
5438,간단하게 사랑이라는건.,간단하지 않은 것.,1
5439,간단하게 사랑이라는건.,여러번 해도 어려워요.,1
5440,간만에 꿈에 나와준 그녀 덕에 추억들이 막 떠오르네,좋은 추억만 간직하세요.,1
5441,간통 극복하는 방법,이혼하세요.,1
5442,갈수록 더보고싶고 감당이안돼,보고 싶은 걸 참는 게 이별 과정이더라고요.,1
5443,갈수록 힘이 드네,좋은 날이 있을 거예요.,1
5444,감각이 무뎌질 때도 된 거 같은데,시간이 가면 무뎌질 거예요.,1
5445,감정기복,저는 항상 심해요.,1
5446,감정에 솔직했을 뿐인데 남자들은 싫은 가봐,상대방이 상처를 받았나봐요.,1
5447,감정조절이 안돼,심호흡을 해보세요.,1
5448,감정조절이 안되서 문자 보냈네,문자가 나을 수도 있겠네요.,1
5449,갑자기 급우울,그러니까 나도 우울.,1
5450,갑자기 또 힘이드네.,토닥토닥,1
5451,갑자기 무너져버린 내자신,자신을 더 사랑해주세요.,1
5452,갑자기 밀려오는 우울감,좋아하는 것을 해보세요.,1
5453,갑자기 심장이 덜컹.,당황했나요?,1
5454,갑자기 일어난일이라 어이 없어,황당하네요.,1
5455,갑자기 차가워졌는데.,이유가 있을 거예요.,1
5456,갑자기 화가나서 싸우고,이유가 있을 거예요.,1
5457,갑자기 힘드네,조금만 더 버텨보세요.,1
5458,갑작스러운 이별.,이별은 모두 갑작스럽죠.,1
5459,갑작스럽게 연락이 왔네.,좋은 연락이었으면 좋겠네요.,1
5460,같은 반인데 헤어지자고 해야 하나??,그래도 할 거면 해야겠죠.,1
5461,같은하늘 다른공간,같은 하늘 아래 숨 쉬고 있어요.,1
5462,같이 마지막으로 다녀온 여행 생각나,새로운 여행을 떠나보세요.,1
5463,같이 보고싶어 올립니다,이제 내려주세요.,1
5464,같이 보고싶어서 올려~,이제 내려주세요.,1
5465,같이 오르고있는줄 알았는데.,아니었나봅니다.,1
5466,같이 욕해줘,나쁜 사람.,1
5467,같이 있었는데.,지금은 아닌가요.,1
5468,같이 해온 5년,더 오래 함께할 사람이 있을 거예요.,1
5469,개거지같이 헤어져서 열받아,소리 한 번 크게 지르고 잊어버리세요.,1
5470,걔 없이 잘지내 보려구,잘 지낼 수 있을 거예요.,1
5471,걔는 행복하게 살텐데,축복은 누구에게나 찾아오는 거래요.,1
5472,거울 속에 비친 내 모습,매력있어요.,1
5473,거울보는게 싫어졌어,거울 안 봐도 괜찮아요.,1
5474,거의 매일 술,술 많이 드시면 더 무너져요.,1
5475,거지같은 이별,소리 한 번 크게 지르고 잊어버리세요.,1
5476,거짓말은 진짜 못고치는 병 맞죠?,아무래도 그렇죠.,1
5477,거짓말처럼 돌아왔으면 좋겠다,슬픈 미련을 버리세요.,1
5478,걸지 못한 전화,걸지 말아요.,1
5479,걸핏하면 차단하는 놈,차단도 병이죠.,1
5480,겁나 열받어,워워~ 진정하세요.,1
5481,겁이 납니다.,용기를 가지세요.,1
5482,겨우 힘든 맘 추스렸는데 연락오네,마음 가는 대로 하세요.,1
5483,겨울에 하는 이별,더 힘들겠어요.,1
5484,견디기가 너무 힘드네,조금만 더 버텨보세요.,1
5485,견딘다는 것,오늘을 살아가는 것.,1
5486,결국 결혼에 골인 못하고 헤어졌습니다,결혼에 골인하는게 무조건 사랑의 성공은 아닐 거예요.,1
5487,결국 놓아줬네,놓느라 고생했어요.,1
5488,결국 다시 이렇게 됐네.,힘내세요!,1
5489,결국 답왔는데.기다리지 말라네,연락 기다리지 마요.,1
5490,결국 또 꿈꿨네.,다른 생각 하고 주무세요.,1
5491,결국 또 다시 이별이 오네,사랑도 또 다시 올 거예요.,1
5492,결국 또 무너졌습니다.,또 일어나면 돼요.,1
5493,결국 또 오게되네,후회만 남을지도 몰라요.,1
5494,결국 만나진 못하고 카톡으로 맘 전했네,만나면 못 말할 것 같았나봐요.,1
5495,결국 사고쳤내 또,다신 실수하지 않길 바랄게요.,1
5496,결국 여친이 헤어지자 하네.,인연이 거기까지 였나봐요.,1
5497,결국 연락을 해버렸네.,잘하셨어요.,1
5498,결국 연락했어,속은 후련하겠어요.,1
5499,결국 완전 끝낫네.,이제 시작이죠.,1
5500,결국 유료 상담을 받고야 말았네,상담도 도움이 될 거예요.,1
5501,결국 이렇게 끝나버리네,시작할 때는 끝을 알지 못하죠.,1
5502,결국 이렇게 될 꺼면서.,시작할 때는 그 끝을 알지 못하죠.,1
5503,결국 이별 종지부를 찍었네.,좋은 시작이 되길 기원할게요.,1
5504,결국 이별의 끝은 망상인건가,이제 망상을 버릴 때가 왔어요.,1
5505,결국 제가 병신인거죠.,그런 소리 마세요.,1
5506,결국 찾아갔네.!,후회하는 것 보단 낫겠네요.,1
5507,결국 파혼했어!,마음이 더 복잡하겠어요.,1
5508,결국 핸드폰 번호 바꿨어,이제 연락 하지 마세요.,1
5509,결국 핸드폰 번호 바꿨어,이제 진짜 잊어요.,1
5510,결국 헤어졌네,더 좋은 사람 만나실 거예요.,1
5511,결국 헤어졌네,또 다른 사랑이 찾아올 거예요.,1
5512,결국 헤어졌네.,시작이 있으면 끝도 있는 법이에요.,1
5513,결국 헤어졌어,시작이 있으면 끝도 있는 법이에요.,1
5514,결국 헤어지자고 했어.,말하기 힘들었겠어요.,1
5515,결국 헤어짐이 찾아오네,언젠간 올 시기였을거예요.,1
5516,결국 헤어짐이 확실해졌습니다,거기까지가 끝인가봐요.,1
5517,결국엔 끝이라는 생각,쉽게 받아들여지진 않을거예요.,1
5518,결국엔 바람난거였네,깨끗하게 잊으세요.,1
5519,결국은 무너졌네,힘내지 않아도 돼요. 충분히 슬퍼하고 다시 일어나세요.,1
5520,결혼 가치관 때문에 헤어졌네.,더 오래 살아야 하니 가치관이 중요하겠죠.,1
5521,결혼 삼개월 이혼이네.,헤어질 거면 빨리 하는게 낫지요.,1
5522,결혼 전재 동거가 끝났네,어떤 상황보다 받아들이기 힘들거라 생각해요.,1
5523,결혼 준비중 일방적인 이별통보 살기 싫어져.,현실이라는 벽에 부딪혔군요.,1
5524,결혼 직전 이별,이혼보다 파혼이 낫죠.,1
5525,결혼까지 생각했는데.,안타깝게 생각해요.,1
5526,결혼은 4년후에 하고 싶다고 하네,그때도 괜찮다면.,1
5527,결혼이나 하지 왜 자꾸 나한테 화 내냐구!,힘들겠네요.,1
5528,결혼적령기의 여자는 이기적이에요.,사람은 다 이기적이죠.,1
5529,결혼할 확신이 안선다고 헤어지자네,결혼에는 확신이 필요하죠.,1
5530,계속 맴돈다.,한동안은 그럴거예요.,1
5531,계속 생각나는 사람.,사랑했던 만큼 생각나겠죠.,1
5532,계속 생각난다면 연락 한 번 해봐야겠죠?,후회하지 않았으면 좋겠어요.,1
5533,계속 시간을 갖자는 의미는 뭔가?,생각할 시간과 정리할 시간이 필요하다는 거겠죠.,1
5534,계속꿈에 나와,잘 때 다른 생각을 하고 주무세요.,1
5535,계절이 바뀌면,더 좋아질 거예요.,1
5536,고민이 되네,생각을 종이에 끄젹여여 보는게 도움이 될 수도 있어요.,1
5537,고백하고 후회하면 어떡하지,후회는 후회를 낳을뿐이에요. 용기 내세요.,1
5538,고작 그러려고 날 떠난건지,그럴 줄 몰랐을 거예요.,1
5539,고작 사람 하나인데,사람이 크죠.,1
5540,곧 1년인데 헤어졌어,더 좋은 날들이 올 거예요.,1
5541,곧 500일을 앞두고 헤어졌어.,더 좋은 날들이 올 거예요.,1
5542,공부는 내 체질이 아닌 것 같아,확신이 없나봐요.,1
5543,공부하기 힘들다,조금만 더 버텨보세요.,1
5544,공허하네,제가 채워줄게요.,1
5545,공허한 마음,제가 채워줄게요.,1
5546,공허함이 크네,제가 채워줄게요.,1
5547,공황증,견디기 힘들었을텐데 괜찮은가요.,1
5548,과거가 발목을 잡아,현재에 집중하세요.,1
5549,과거에 얽매여 있어,과거랑 현재랑 미래는 함께 해요.,1
5550,과거의 나한테 화나,현재의 나한테 사과하세요.,1
5551,과연 돌아올까?,돌아오길 바란다면 연락해보세요.,1
5552,과연 사랑이였을까?,마음이 알고 있을 거예요.,1
5553,괘씸하고 분하지만 너무 그립습니다,사랑과 증오 사이에서 괴로워하시는군요.,1
5554,괜찮다 나는 괜찮다,괜찮아질 거예요.,1
5555,괜찮다가.갑자기 ㅠ,더 괜찮아 지려고 하는 과정일 거예요.,1
5556,괜찮다가도 불쑥불쑥 올라오네,심호흡을 해보세요.,1
5557,괜찮다가도 한번씩 마음이 저려오네,심호흡을 해보세요.,1
5558,괜찮아 지고있었는데 에효,더 괜찮아 지려고 하는 과정일 거예요.,1
5559,괜찮아 지지가 않아,더 괜찮아 질 거예요.,1
5560,괜찮아 진 줄 알았는데 오늘 펑펑 울었어.,울어도 괜찮아요.,1
5561,괜찮아졌는줄 알았는데. . .,조금만 더 힘내세요.,1
5562,괜찮아졌다가 다시울컥하네,울어도 괜찮아요.,1
5563,괜찮아진 줄 알았는데.,괜찮은 척 하고 있던 걸 수도 있어요.,1
5564,괜찮았었는데,울어도 괜찮아요.,1
5565,괜찮은 줄 알았는 데,자신을 가장 잘 모르고 살아요.,1
5566,괜찮은 줄 알았는데,안 괜찮아도 돼요.,1
5567,괜찮은 줄 알았는데 남자가 생겼단 말에 마음이 또 다시 덜컥 내려 앉네,이젠 떠나간 사람 때문에 괴로워 말아요.,1
5568,괜찮은 줄 알았는데.,우리는 많이 모르고 살죠.,1
5569,괜찮은 줄 알았다.,우리는 참 많이 모르고 살죠.,1
5570,"괜찮은 척, 어른인척",척 안해도 돼요.,1
5571,괜찮은게 아닌가봐,안 괜찮아도 돼요.,1
5572,괜찮은주 알았는데,아니었나요.,1
5573,괜찮을줄 알았는데,쉽게 나아지지 않지요.,1
5574,괜한 희망은 더 큰 절망을,헛된 희망은 자신을 더 괴롭게 만들거예요.,1
5575,괜히 카톡했네.,이제 카톡하지 마요.,1
5576,괴로워,괴로울만 해요.,1
5577,괴롭습니다.,한동안은 그럴지도 몰라요.,1
5578,구걸하듯 사랑하지 마,사랑은 주고 받기죠.,1
5579,군대 가도 기다리겠다더니,전역해서 더 좋은 사람 만날 수 있을 거예요.,1
5580,군인이라 슬프네.,전역해서 더 좋은 사람 만날 수 있을 거예요.,1
5581,군인입니다 환승이별.,환승은 진짜 예의가 없네요.,1
5582,궁금한게 있는데,네 말씀해주세요.,1
5583,궁금한게있습니다,네 물어보세요.,1
5584,궁금한게있어!!,네 무엇이든 물어보세요.,1
5585,권태기 .,이겨낼 수 있어요.,1
5586,권태기 이기적인 거 알지만,사람은 모두 이기적인 동물이에요.,1
5587,권태기 이별,극복하거나 이별하거나 둘 중 하나죠.,1
5588,권태기는 노답이네,극복하거나 이별하거나 둘 중 하나죠.,1
5589,권태기라고 이별을 통보하는 사람,그 사람도 힘들었을 거예요.,1
5590,권태기로 헤어지면 후회할까,극복하려는 노력은 해보는 게 좋을 거 같아요.,1
5591,그 남자의 결혼 소식,더 좋은 사람 만나실 거예요.,1
5592,그 모습 자꾸 생각나,좋은 모습만 기억에 남겠죠.,1
5593,그 사람도 그럴까??,그럴 거예요.,1
5594,그 사람에게 여자가 생겼네. .,찾아보지 마세요.,1
5595,그 사람이 참 그리워,사랑했나봐요.,1
5596,그 애하고 다녔던곳들 찾아다니는 습관,다른 사람과 다녀보세요.,1
5597,그게 되니,될 수 있어요.,1
5598,그나저나 웃기라고 해보죠.,억지로라도 웃는 게 도움이 될 거예요.,1
5599,그나저나 힘들긴 힘드네.,힘내세요.,1
5600,그냥 가슴이 아프네,조금만 더 버텨보세요.,1
5601,그냥 궁금해,궁금할 수 있어요.,1
5602,그냥 나를 위해 살고 싶어,그럴 수 있을 거예요.,1
5603,그냥 다 포기하려구,포기 하지 마요.,1
5604,그냥 답답하네.,마음이 헛헛하군요.,1
5605,그냥 마음에서 지울게,천천히 보내주세요.,1
5606,그냥 만남과 헤어짐의 연속,마음이 지쳤나봐요.,1
5607,그냥 무작정 그녀 집에 갑니다,행동파시군요.,1
5608,그냥 보고싶다,아련하네요.,1
5609,그냥 보내려 합니다.,보내는 것도 사랑이에요.,1
5610,그냥 써 봐.,쓰면서 정리가 되기도 하죠.,1
5611,그냥 이렇게 산다.,충분히 잘 살고 있어요.,1
5612,그냥 이별은 힘듬,이별은 언제 해도 익숙해지지가 않으니까요.,1
5613,그냥 주절주절,들어드릴게요.,1
5614,그냥 차단이나 하지.,스스로에게 하는 말인가요.,1
5615,그냥 친구하자네,연인은 친구가 될 수 없어요.,1
5616,그냥 행복하면 그뿐,행복이 최고죠.,1
5617,그냥 흔한 이별 그리고 넋두리,저를 찾아줘서 고마워요.,1
5618,그냥.너와 말한마디 섞고 너와의 인연에 고맙다,아름다운 사이네요.,1
5619,그녀 생각만 하면 멍해져,큐피드의 화살에 맞았나봐요.,1
5620,그녀 생각에,잠 못 드는 밤인가봐요.,1
5621,그녀 생각에 아직 잠을 잘못잡니다,몸을 피곤하게 하거나 다른 생각을 해보세요.,1
5622,그녀 생일,지금은 생생하겠지만 하나씩 잊으세요.,1
5623,그녀 참 잔인하네.,가장 사랑했던 사람이 가장 아프게 하죠.,1
5624,그녀가 꿈에 나와서 다시 만나고 싶다 했어,꿈과 현실은 같지 않아요.,1
5625,그녀가 떠났습니다,지금처럼 현실을 인정하세요.,1
5626,그녀가 많이 힘들어보이네,당신도 힘들어 보이네요.,1
5627,그녀가 정말 떠납니다,지금처럼 현실을 인정하세요.,1
5628,그녀는 가끔 이라도 나를 생각해 줄까?,미련을 천천히 버려보세요.,1
5629,그녀는 내게 돌아오지 않아 이젠 잊어야해.,마음을 천천히 보듬어 주세요.,1
5630,그녀는 무슨 생각일까?ㅠ,그녀밖에 알 수가 없죠.,1
5631,그녀는 이별했지만 전 아직 슬픈진행중,사랑 진행으로 바뀌길 바랄게요.,1
5632,그녀로부터 연락이왔습니다,뭐라고 하던가요.,1
5633,그녀를 닮은 여잘 보고,그녀가 아니라는 걸 잊지 마세요.,1
5634,그녀를 떠나 보냈습니다.,맘이 편치 않겠어요.,1
5635,그녀를 떠나보내야 하나?,고민하고 있다면 그게 맞을거예요.,1
5636,그녀를 만났던 카페에서 탈퇴했어,힘들겠지만 잘했어요.,1
5637,그녀를 잊어야 하는게 너무 힘이 드네.,시간이 도와줄 거예요.,1
5638,그녀를만나고와서,마음이 복잡한가요.,1
5639,그녀에 sns를 봤습니다.,SNS는 보지 않는 게 좋겠어요.,1
5640,그녀에게 받았던 선물들을 모조리 다 버리려 합니다.,버릴 때 마음이 아프겠지만 버리는 게 좋을 거예요.,1
5641,그녀에게 연락이 왔습니다,싱숭생숭했겠네요.,1
5642,그녀에게도 후폭풍이 올까??,후폭풍은 누구에게나 올 거예요.,1
5643,그녀와 운동하던 헬스장 짐 정리 하러 갑니다,마음도 잘 정리하고 오세요.,1
5644,그녀와 이별을 할때마다 한나씩 잃었었네.,아무것도 남지 않는게 미련도 덜할 거예요.,1
5645,그녀와 헤어졋습니다,허전한 마음이 들겠어요.,1
5646,그녀와 헤어지고 느낀게 많네,아픔 뒤에는 항상 깨달음이 있나봐요.,1
5647,그녀의 결혼 너무 가슴이 아프네,이젠 그녀를 놓아주세요.,1
5648,그녀의 남자사진을 봤습니다,원하던게 아니었을텐데 씁쓸했겠어요.,1
5649,그녀의 모습을 보는 마지막 순간,흔들릴 수 밖에 없었겠네요.,1
5650,그녀의 사진들 다 지웠어.,잘했어요.,1
5651,그녀의 소식,소식 듣지 마세요.,1
